point;time;Leq;L5;L10;L50;L90;condition
P3;2;70.6;73.01;72.48;70.08;67.47;Without fireworks
P3;3;68.39;69.86;69.62;68.52;66.1;Without fireworks
P3;4;68.86;71.44;70.99;67.87;66.02;Without fireworks
P3;5;69.6;72.16;71.9;69.2;65.79;Without fireworks
P3;6;70.52;73.29;72.17;69.9;67.78;Without fireworks
P3;7;68.98;73.1;71.88;67.65;65.79;Without fireworks
P3;8;70.94;73.45;72.39;70.44;66.91;Without fireworks
P3;9;68.85;71.48;71.06;68.33;65.39;Without fireworks
P3;10;68.74;71.17;70.95;68.63;63.5;Without fireworks
P3;11;70.03;71.61;71.37;69.63;67.43;Without fireworks
P3;12;70.29;73.03;70.73;69.81;68.75;Without fireworks
P3;13;70.65;73.99;72.71;69.62;67.82;Without fireworks
P3;14;68.97;71.07;70.7;68.82;66.62;Without fireworks
P3;15;68.98;72.8;70.5;68.13;64.86;Without fireworks
P3;16;68.89;71.42;70.34;68.22;66.06;Without fireworks
P3;17;70.36;73.78;73.24;69.21;66.64;Without fireworks
P3;18;70.68;74.45;72.84;69.41;66.79;Without fireworks
P3;19;69.18;71.71;71.29;68.67;67.15;Without fireworks
P3;20;69.07;71.38;70.98;68.59;65.84;Without fireworks
P3;21;70.25;74.21;71.13;68.91;66.72;Without fireworks
P3;22;71.88;75.11;73.43;71.59;68.72;Without fireworks
P3;23;69.24;70.79;70.32;69.1;67.65;Without fireworks
P3;24;68.6;70.74;70.5;68.58;64.41;Without fireworks
P3;25;70.71;75.23;72.5;68.36;66.34;Without fireworks
P3;26;68.52;71.32;70.86;67.49;65.57;Without fireworks
P3;27;70.7;73.46;73.21;70.18;66.96;Without fireworks
P3;28;72.09;76.09;74.25;69.69;66.18;Without fireworks
P3;29;68.61;70.8;69.38;67.87;65.37;Without fireworks
P3;30;69.01;71;70.61;68.61;65.95;Without fireworks
P3;31;69.17;70.65;70.5;69.05;66.86;Without fireworks
P3;32;68.65;71.02;70.11;68.02;65.98;Without fireworks
P3;33;69.79;73.07;72.31;68.55;66.2;Without fireworks
P3;34;69.53;71.24;70.93;69.43;66.95;Without fireworks
P3;35;68.19;71.86;71.28;66.89;63.72;Without fireworks
